FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 10.800,00 
;;ENVIO;; $ 39.000,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;1; $ 19.200,00 
;;Gorillaz Doble;2; $ 30.600,00 
;;HC doble;4; $ 62.400,00 
;;HC simple;3; $ 37.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );3; $ 20.100,00 
;;KISS DOBLE;2; $ 29.000,00 
;;KISS SIMPLE;3; $ 34.500,00 
;;LADY GAGA;1; $ 9.400,00 
;;LATON HEINEKEN;5; $ 25.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;3; $ 8.400,00 
;;MADONNA veggie;1; $ 10.900,00 
;;Mala Fama Doble 220g;10; $ 156.000,00 
;;Mala Fama Simple 110g ;2; $ 25.200,00 
;;Mala Fama Triple 330g ;2; $ 37.800,00 
;;Nugget's X6 ;; $ 19.600,00 
;;Papas con Cheddar;1; $ 15.600,00 
;;PAPAS QUEEN;1; $ 7.800,00 
;;Papas Queen ;; $ 16.800,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 121.000,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 105.500,00 
;;Red Hot DOBLE;3; $ 43.200,00 
;;RESIDENTE DOBLE;3; $ 46.800,00 
;;RIHANNA ;4; $ 37.600,00 
;;Rolling Stone Doble 220g;1; $ 13.900,00 
;;Rolling Stone Simple 110g ;1; $ 10.900,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;5; $ 73.500,00 
;;FANTA 500 ml;2; $ 4.800,00 
;;NIRVANA  ;2; $ 26.800,00 
;;Lata Schweppes Pomelo Zero;2; $ 4.800,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
7/1/2026;364623;ACDC Doble;1; $ 14.800,00 
;;Bob Marley Doble ;1; $ 13.700,00 
;;Charly Doble 220g ;1; $ 13.500,00 
;;Clasic Doble 220g;4; $ 51.600,00 
;;Clasic Simple 110g ;2; $ 19.800,00 
;;Clasic Triple 330g;2; $ 32.400,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 13.000,00 
;;FERNET ;3; $ 21.000,00 
;;HC doble;1; $ 15.600,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LATON HEINEKEN;1; $ 5.000,00 
;;Mala Fama Doble 220g;1; $ 15.600,00 
;;Mala Fama Simple 110g ;3; $ 37.800,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.000,00 
;;Papas con Cheddar;1; $ 9.600,00 
;;PAPAS QUEEN;1; $ 7.800,00 
;;Papas Queen ;; $ 5.600,00 
;;PROMO 2-- 2 x Charly doble ;1; $ 21.100,00 
;;RESIDENTE SIMPLE;2; $ 25.200,00 
;;Duko Doble;2; $ 29.400,00 
;;NIRVANA  ;1; $ 13.400,00 
;;Lata Schweppes Pomelo Zero;1; $ 2.400,00 
;;NIRVANA 2;1; $ 13.500,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;365623;2 tostados AMERICANOS;1; $ 8.500,00 
;;ACDC Doble;1; $ 14.800,00 
;;ACDC Simple ;2; $ 23.600,00 
;;ACDC Triple;1; $ 18.100,00 
;;Aros de Cebolla 6 unid.;; $ 9.600,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 7.600,00 
;;Beatle Doble 220g ;6; $ 85.200,00 
;;Beatle Simple 110g ;1; $ 11.200,00 
;;Bob marley Simple;1; $ 10.700,00 
;;Cerveza Andes IPA;2; $ 6.000,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly  Triple 330g;3; $ 50.400,00 
;;Charly Doble 220g ;4; $ 54.000,00 
;;Charly Simple 110g;1; $ 10.500,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;13; $ 167.700,00 
;;Clasic Simple 110g ;9; $ 89.100,00 
;;Clasic Triple 330g;2; $ 32.400,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;3; $ 12.900,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 2.000,00 
;;dip de cheddar;; $ 16.200,00 
;;Eminem;1; $ 15.700,00 
;;ENVIO;; $ 67.600,00 
;;Gorillaz Doble;10; $ 153.000,00 
;;Gorillaz simple ;1; $ 12.300,00 
;;HC doble;3; $ 46.800,00 
;;HC simple;2; $ 25.200,00 
;;HC TRIPLE;1; $ 18.900,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );3; $ 20.100,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;MADONNA veggie;1; $ 10.900,00 
;;Mala Fama Doble 220g;8; $ 124.800,00 
;;Mala Fama Simple 110g ;4; $ 50.400,00 
;;Mala Fama Triple 330g ;2; $ 37.800,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.000,00 
;;Nugget's X6 ;; $ 25.200,00 
;;Papas con Cheddar;2; $ 31.200,00 
;;PAPAS QUEEN;6; $ 46.800,00 
;;Papas Queen ;; $ 22.400,00 
