FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Simple 110g ;2; $ 22.200,00 
;;Clasic Triple 330g;2; $ 34.800,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 2.800,00 
;;ENVIO;; $ 11.700,00 
;;Gorillaz simple ;1; $ 13.800,00 
;;Heineken 464ml;1; $ 3.700,00 
;;HIP HOP;1; $ 23.100,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LEVITE 500ml;2; $ 4.200,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;MADONNA veggie;1; $ 12.300,00 
;;Mala Fama Doble 220g;1; $ 17.200,00 
;;MESA;;
;;Nugget's X6 ;; $ 3.200,00 
;;PAPAS QUEEN;1; $ 8.800,00 
;;Papas Queen ;; $ 9.600,00 
;;Red Hot DOBLE;1; $ 15.800,00 
;;RESIDENTE SIMPLE;2; $ 28.400,00 
;;Duko Doble;2; $ 32.200,00 
;;CHEESCAKE DE FRUTILLA ;1; $ 4.200,00 
;391683;ACDC Doble;9; $ 145.800,00 
;;ACDC Simple ;2; $ 26.400,00 
;;ACDC Triple;4; $ 78.000,00 
;;Agua 500cc;3; $ 6.300,00 
;;Aros de Cebolla 6 unid.;; $ 25.200,00 
;;Beatle Doble 220g ;8; $ 124.800,00 
;;Beatle Simple 110g ;3; $ 37.800,00 
;;BIZARRAP Session #1 ;1; $ 10.500,00 
;;BIZZARAP session #2;4; $ 42.000,00 
;;Bob marley Simple;1; $ 12.100,00 
;;cambio x dip cheddar;; $ 900,00 
;;CAMPARI;1; $ 7.000,00 
;;Charly Doble 220g ;11; $ 161.700,00 
;;Charly Simple 110g;8; $ 93.600,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;26; $ 366.600,00 
;;Clasic Simple 110g ;6; $ 66.600,00 
;;Clasic Triple 330g;8; $ 139.200,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;8; $ 34.400,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 11.200,00 
;;Eminem;2; $ 35.200,00 
;;ENVIO;; $ 111.800,00 
;;FERNET ;1; $ 7.000,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;7; $ 151.200,00 
;;Fried Onion Doble 220g;1; $ 15.800,00 
;;GIN TONIC;1; $ 7.500,00 
;;Gorillaz Doble;3; $ 50.400,00 
;;Gorillaz simple ;4; $ 55.200,00 
;;HC doble;5; $ 86.000,00 
;;HC simple;3; $ 42.600,00 
;;KISS DOBLE;4; $ 63.600,00 
;;KISS SIMPLE;2; $ 25.800,00 
;;LADY GAGA;1; $ 10.500,00 
;;LATA Coca-Cola 357cc;6; $ 15.000,00 
;;LATA SPRITE ;3; $ 7.500,00 
;;LATON HEINEKEN;6; $ 30.000,00 
;;LEVITE 500ml;2; $ 4.200,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;8; $ 137.600,00 
;;Mala Fama Simple 110g ;3; $ 42.600,00 
;;Mala Fama Triple 330g ;2; $ 41.000,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;5; $ 45.000,00 
;;Nugget's X6 ;; $ 35.200,00 
;;Papas con Cheddar;3; $ 81.300,00 
;;Papas Mercury;1; $ 12.200,00 
;;PAPAS QUEEN;12; $ 105.600,00 
;;Papas Queen ;; $ 48.000,00 
;;PATRICIO REY DOBLE;1; $ 16.500,00 
;;PATRICIO REY SIMPLE;2; $ 27.000,00 
;;PROMO 1 -- 4 X Classic simple;17; $ 460.700,00 
;;PROMO 2-- 2 x Charly doble ;11; $ 260.700,00 
;;Red Hot DOBLE;8; $ 126.400,00 
;;Red Hot Simple 110g ;1; $ 12.800,00 
;;RESIDENTE DOBLE;2; $ 34.400,00 
;;RESIDENTE SIMPLE;2; $ 28.400,00 
;;RIHANNA ;2; $ 21.000,00 
;;Rolling Stone Doble 220g;1; $ 15.300,00 
;;Rolling Stone Simple 110g ;1; $ 12.300,00 
;;Sprite 1.5L;5; $ 21.500,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;TIRAMISU;2; $ 8.400,00 
;;Duko Simple;4; $ 52.400,00 
;;Duko Doble;11; $ 177.100,00 
;;Duko Triple 330g ;1; $ 19.400,00 
;;Beatle Triple ;1; $ 18.900,00 
;;Rolling Stone Triple;1; $ 18.600,00 
;;NIRVANA 2;1; $ 15.000,00 
;;Porcion Extra de Papas Medianas;; $ 11.000,00 
;;John Lennon Mediana;5; $ 80.000,00 
;;John Lennon XL;5; $ 110.000,00 
;;Pink Floyd Mediana;3; $ 57.000,00 
;;Pink Floyd XL;4; $ 100.000,00 
;;Creedence XL;2; $ 54.000,00 
;;Empanada de Carne;6; $ 15.000,00 
;;Empanada de Pollo;1; $ 2.500,00 
;;Elvis Presley XL;2; $ 68.000,00 
;;6 empanadas;5; $ 65.000,00 
;;12 empanadas;2; $ 50.000,00 
;;3 empanadas;2; $ 14.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
;;Freddie Mercury XL;1; $ 21.000,00 
28/2/2026;391684;ACDC Doble;1; $ 16.200,00 
;;Alma Fuerte ;1; $ 13.500,00 
;;Aros de Cebolla 6 unid.;; $ 3.600,00 
;;Beatle Doble 220g ;1; $ 15.600,00 
;;Beatle Simple 110g ;4; $ 50.400,00 
;;BIZARRAP Session #1 ;1; $ 10.500,00 
;;BIZZARAP session #2;1; $ 10.500,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly Doble 220g ;1; $ 14.700,00 
;;Clasic Doble 220g;1; $ 14.100,00 
;;Clasic Simple 110g ;3; $ 33.300,00 
;;Clasic Triple 330g;3; $ 52.200,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 9.100,00 
;;Gorillaz Doble;1; $ 16.800,00 
;;Gorillaz simple ;1; $ 13.800,00 
;;HC doble;2; $ 34.400,00 
;;Heineken 464ml;1; $ 3.700,00 
;;LADY GAGA;4; $ 42.000,00 
;;LATA Coca-Cola 357cc;2; $ 5.000,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;2; $ 18.000,00 
;;Nugget's X6 ;; $ 3.200,00 
;;Papas con Cheddar;1; $ 8.700,00 
;;PROMO 2-- 2 x Charly doble ;1; $ 23.700,00 
;;Red Hot Simple 110g ;1; $ 12.800,00 
;;Red Hot Triple 330g ;1; $ 19.100,00 
;;RESIDENTE SIMPLE;1; $ 14.200,00 
;;RIHANNA ;6; $ 63.000,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;techno Chicken;1; $ 10.700,00 
;;Duko Simple;2; $ 26.200,00 
;;Duko Doble;1; $ 16.100,00 
;;NIRVANA  ;1; $ 15.000,00 
;391685;ACDC Doble;1; $ 16.200,00 
;;ACDC Simple ;1; $ 13.200,00 
;;ACDC Triple;1; $ 19.500,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;1; $ 13.500,00 
;;AMERICANO + levite;1; $ 6.800,00 
;;Aros de Cebolla 6 unid.;; $ 10.800,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.600,00 
;;Beatle Doble 220g ;6; $ 93.600,00 
;;Beatle Simple 110g ;1; $ 12.600,00 
;;BIZARRAP Session #1 ;4; $ 42.000,00 
;;BIZZARAP session #2;1; $ 10.500,00 
;;Bob Marley Doble ;1; $ 15.100,00 
;;Bob marley Simple;2; $ 24.200,00 
;;Cerveza Andes IPA;4; $ 12.000,00 
;;Charly Doble 220g ;5; $ 73.500,00 
;;Charly Simple 110g;4; $ 46.800,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;21; $ 296.100,00 
;;Clasic Simple 110g ;15; $ 166.500,00 
;;Clasic Triple 330g;7; $ 121.800,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;6; $ 25.800,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 8.400,00 
;;Eminem;4; $ 70.400,00 
;;ENVIO;; $ 122.200,00 
;;FERNET ;2; $ 14.000,00 
;;franui Chocolate con leche + chocolate blanco;4; $ 36.000,00 
;;Freestyle;5; $ 108.000,00 
;;Fried Onion Doble 220g;4; $ 63.200,00 
;;Fried Onion Simple 110g ;1; $ 12.800,00 
;;Gorillaz Doble;2; $ 33.600,00 
;;Gorillaz simple ;1; $ 13.800,00 
;;HC doble;5; $ 86.000,00 
;;HC simple;2; $ 28.400,00 
;;HC TRIPLE;6; $ 123.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );2; $ 15.000,00 
;;KISS SIMPLE;5; $ 64.500,00 
;;LADY GAGA;1; $ 10.500,00 
;;LATA Coca-Cola 357cc;4; $ 10.000,00 
;;LATA SPRITE ;1; $ 2.500,00 
;;LEVITE 500ml;2; $ 4.200,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;10; $ 172.000,00 
;;Mala Fama Simple 110g ;2; $ 28.400,00 
;;NUGGETS X12 + PAPAS + BBQ;5; $ 45.000,00 
;;Nugget's X6 ;; $ 41.600,00 
;;Papas con Cheddar;4; $ 54.000,00 
;;Papas Mercury;4; $ 48.800,00 
;;PAPAS QUEEN;5; $ 44.000,00 
;;Papas Queen ;; $ 35.200,00 
;;PATRICIO REY SIMPLE;2; $ 27.000,00 
;;PROMO 1 -- 4 X Classic simple;8; $ 216.800,00 
;;PROMO 2-- 2 x Charly doble ;17; $ 402.900,00 
;;Red Hot DOBLE;1; $ 15.800,00 
;;Red Hot Simple 110g ;3; $ 38.400,00 
;;Red Hot Triple 330g ;1; $ 19.100,00 
;;RESIDENTE DOBLE;4; $ 68.800,00 
;;RESIDENTE SIMPLE;3; $ 42.600,00 
;;RIHANNA ;3; $ 31.500,00 
;;Rolling Stone Doble 220g;1; $ 15.300,00 
;;Rolling Stone Simple 110g ;3; $ 36.900,00 
;;Sprite 1.5L;5; $ 21.500,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;Techno Chicken DOBLE ;2; $ 27.400,00 
;;TIRAMISU;4; $ 16.800,00 
;;Duko Simple;7; $ 91.700,00 
;;Duko Doble;8; $ 128.800,00 
;;Duko Triple 330g ;3; $ 58.200,00 
;;Rolling Stone Triple;1; $ 18.600,00 
;;NIRVANA  ;1; $ 15.000,00 
;;Porcion Extra de Papas Medianas;; $ 8.800,00 
;;John Lennon Mediana;2; $ 32.000,00 
;;John Lennon XL;4; $ 88.000,00 
;;Michael Jackson Mediana;5; $ 90.000,00 
;;Michael Jackson XL;2; $ 48.000,00 
;;Pink Floyd XL;5; $ 125.000,00 
;;Creedence XL;2; $ 54.000,00 
;;Empanada de Carne;7; $ 17.500,00 
;;Empanada de Pollo;3; $ 7.500,00 
;;Empanada de Jamon y Queso;7; $ 17.500,00 
;;Elvis Presley MEDIANA;2; $ 54.000,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;3; $ 21.000,00 
;;Freddie Mercury Mediana;1; $ 21.000,00 
;;CHEESCAKE DE FRUTILLA ;1; $ 4.200,00 
1/3/2026;391686;ACDC Doble;1; $ 16.200,00 
;;ACDC Simple ;3; $ 39.600,00 
;;Agua 500cc;5; $ 10.500,00 
;;Alma Fuerte ;2; $ 27.000,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 3.600,00 
;;Beatle Doble 220g ;7; $ 109.200,00 
;;Beatle Simple 110g ;4; $ 50.400,00 
;;BIZARRAP Session #1 ;1; $ 10.500,00 
;;BIZZARAP session #2;5; $ 52.500,00 
;;Bob Marley Doble ;1; $ 15.100,00 
;;Bob marley Simple;2; $ 24.200,00 
;;cambio x dip cheddar;; $ 900,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly Doble 220g ;6; $ 88.200,00 
;;Charly Simple 110g;4; $ 46.800,00 
;;Clasic Doble 220g;22; $ 310.200,00 
;;Clasic Simple 110g ;10; $ 111.000,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;14; $ 60.200,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 22.400,00 
;;ENVIO;; $ 101.400,00 
;;Freestyle;7; $ 151.200,00 
;;Fried Onion Doble 220g;1; $ 15.800,00 
;;Fried Onion Simple 110g ;1; $ 12.800,00 
;;Gorillaz Doble;1; $ 16.800,00 
;;HC doble;4; $ 68.800,00 
;;HC simple;2; $ 28.400,00 
;;KISS DOBLE;4; $ 63.600,00 
;;KISS SIMPLE;2; $ 25.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;Levite de POMELO 1,5 L;3; $ 8.400,00 
;;Mala Fama Doble 220g;10; $ 172.000,00 
;;Mala Fama Simple 110g ;2; $ 28.400,00 
;;Mala Fama Triple 330g ;2; $ 41.000,00 
;;NUGGETS X12 + PAPAS + BBQ;7; $ 63.000,00 
;;Nugget's X6 ;; $ 28.800,00 
;;Papas con Cheddar;2; $ 51.000,00 
;;Papas Mercury;1; $ 12.200,00 
;;PAPAS QUEEN;1; $ 8.800,00 
;;Papas Queen ;; $ 54.400,00 
;;PATRICIO REY DOBLE;3; $ 49.500,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 135.500,00 
;;PROMO 2-- 2 x Charly doble ;15; $ 355.500,00 
;;Red Hot DOBLE;1; $ 15.800,00 
;;Red Hot Simple 110g ;4; $ 51.200,00 
;;RESIDENTE DOBLE;7; $ 120.400,00 
;;RESIDENTE SIMPLE;2; $ 28.400,00 
;;Rolling Stone Doble 220g;1; $ 15.300,00 
;;Rolling Stone Simple 110g ;2; $ 24.600,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;techno Chicken;1; $ 10.700,00 
;;Duko Simple;4; $ 52.400,00 
;;Duko Doble;14; $ 225.400,00 
;;Duko Triple 330g ;1; $ 19.400,00 
;;Rolling Stone Triple;1; $ 18.600,00 
;;Porcion Extra de Papas Medianas;; $ 11.000,00 
;;John Lennon Mediana;5; $ 80.000,00 
;;John Lennon XL;7; $ 154.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence XL;2; $ 54.000,00 
;;Empanada de Carne;4; $ 10.000,00 
;;Empanada de Pollo;1; $ 2.500,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;1; $ 7.000,00 
;;Kiss Mediana;1; $ 18.000,00 
2/3/2026;392686;ACDC Doble;1; $ 16.200,00 
;;Agua 500cc;2; $ 4.200,00 
;;Andes Rubia;2; $ 6.000,00 
;;Beatle Doble 220g ;1; $ 15.600,00 
;;Beatle Simple 110g ;1; $ 12.600,00 
;;BIZZARAP session #2;1; $ 10.500,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly Doble 220g ;3; $ 44.100,00 
;;Charly Simple 110g;2; $ 23.400,00 
;;Clasic Doble 220g;10; $ 141.000,00 
;;Clasic Simple 110g ;9; $ 99.900,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;dip de barbacoa;; $ 4.400,00 
;;dip de cheddar;; $ 2.800,00 
;;Eminem;4; $ 70.400,00 
;;ENVIO;; $ 49.400,00 
;;Freestyle;1; $ 21.600,00 
;;Fried Onion Doble 220g;1; $ 15.800,00 
;;Fried Onion Simple 110g ;2; $ 25.600,00 
;;GIN TONIC;1; $ 7.500,00 
;;Gorillaz Doble;5; $ 84.000,00 
;;Gorillaz simple ;1; $ 13.800,00 
;;HC doble;2; $ 34.400,00 
;;HC simple;1; $ 14.200,00 
;;Heineken 464ml;2; $ 7.400,00 
;;KISS SIMPLE;1; $ 12.900,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;Mala Fama Simple 110g ;4; $ 56.800,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 9.000,00 
;;Nugget's X6 ;; $ 32.000,00 
;;Papas con Cheddar;1; $ 13.500,00 
;;Papas Queen ;; $ 28.800,00 
;;PROMO 1 -- 4 X Classic simple;3; $ 81.300,00 
;;PROMO 2-- 2 x Charly doble ;9; $ 213.300,00 
;;Red Hot DOBLE;1; $ 15.800,00 
;;Red Hot Simple 110g ;3; $ 38.400,00 
;;Rolling Stone Doble 220g;3; $ 45.900,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;Duko Simple;4; $ 52.400,00 
;;Duko Doble;5; $ 80.500,00 
;;Beatle Triple ;1; $ 18.900,00 
;;NIRVANA  ;1; $ 15.000,00 
;;Porcion Extra de Papas Medianas;; $ 6.600,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;5; $ 12.500,00 
;;Empanada de Jamon y Queso;2; $ 5.000,00 
;;Elvis Presley XL;1; $ 34.000,00 
;;6 empanadas;1; $ 13.000,00 
;;3 empanadas;1; $ 7.000,00 
;;Kiss Mediana;1; $ 18.000,00 
3/3/2026;392687;ACDC Doble;2; $ 32.400,00 
;;AMERICANO + levite;1; $ 6.800,00 
;;Charly Doble 220g ;1; $ 14.700,00 
;;Clasic Triple 330g;1; $ 17.400,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 2.800,00 
;;ENVIO;; $ 11.700,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.500,00 
;;LATA Coca-Cola 357cc;2; $ 5.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Nugget's X6 ;; $ 6.400,00 
;;Papas con Cheddar;; $ 2.400,00 
;;PROMO 1 -- 4 X Classic simple;2; $ 54.200,00 
;;PROMO 2-- 2 x Charly doble ;1; $ 23.700,00 
;;RIHANNA ;4; $ 42.000,00 
;;Duko Simple;1; $ 13.100,00 
;;NIRVANA  ;1; $ 15.000,00 
;;NIRVANA 2;1; $ 15.000,00 
;;Porcion Extra de Papas Medianas;; $ 2.200,00 
;392688;ACDC Doble;1; $ 16.200,00 
;;Aros de Cebolla 6 unid.;; $ 3.600,00 
;;Beatle Doble 220g ;1; $ 15.600,00 
;;Bob Marley Doble ;1; $ 15.100,00 
;;Charly Doble 220g ;5; $ 73.500,00 
;;Charly Simple 110g;7; $ 81.900,00 
;;Clasic Doble 220g;10; $ 141.000,00 
;;Clasic Simple 110g ;6; $ 66.600,00 
;;Clasic Triple 330g;2; $ 34.800,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;dip de cheddar;; $ 11.200,00 
;;ENVIO;; $ 31.200,00 
;;Freestyle;4; $ 86.400,00 
;;Fried Onion Doble 220g;2; $ 31.600,00 
;;Fried Onion Simple 110g ;1; $ 12.800,00 
;;Gorillaz Doble;1; $ 16.800,00 
;;HC simple;1; $ 14.200,00 
;;LATA Coca-Cola 357cc;3; $ 7.500,00 
;;LATON HEINEKEN;1; $ 5.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Simple 110g ;1; $ 14.200,00 
;;Mala Fama Triple 330g ;1; $ 20.500,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 9.000,00 
;;Nugget's X6 ;; $ 3.200,00 
;;Papas con Cheddar;1; $ 11.100,00 
;;PAPAS QUEEN;2; $ 17.600,00 
;;Papas Queen ;; $ 16.000,00 
;;PATRICIO REY SIMPLE;2; $ 27.000,00 
;;PROMO 1 -- 4 X Classic simple;3; $ 81.300,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 47.400,00 
;;Red Hot DOBLE;2; $ 31.600,00 
;;Red Hot Simple 110g ;1; $ 12.800,00 
;;RESIDENTE DOBLE;1; $ 17.200,00 
;;RESIDENTE SIMPLE;1; $ 14.200,00 
;;Rolling Stone Doble 220g;2; $ 30.600,00 
;;Rolling Stone Simple 110g ;1; $ 12.300,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;Techno Chicken DOBLE ;1; $ 13.700,00 
;;Duko Simple;1; $ 13.100,00 
;;Duko Doble;2; $ 32.200,00 
;;Porcion Extra de Papas Medianas;; $ 11.000,00 
4/3/2026;392689;2 tostados AMERICANOS;2; $ 19.000,00 
;;ACDC Doble;1; $ 16.200,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;2; $ 27.000,00 
;;Clasic Doble 220g;5; $ 70.500,00 
;;Clasic Triple 330g;1; $ 17.400,00 
;;CLASICO + levite;1; $ 6.800,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;ENVIO;; $ 11.700,00 
;;KISS DOBLE;1; $ 15.900,00 
;;KISS SIMPLE;1; $ 12.900,00 
;;LATA Coca-Cola 357cc;2; $ 5.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;1; $ 9.000,00 
;;Papas con Cheddar;2; $ 17.400,00 
;;PAPAS QUEEN;1; $ 8.800,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 118.500,00 
;;Duko Doble;2; $ 32.200,00 
;;CHEESECAKE OREO;1; $ 4.200,00 
;392690;2 tostados CLASSIC;1; $ 9.500,00 
;;ACDC Doble;7; $ 113.400,00 
;;Andes Rubia;2; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 10.800,00 
;;Beatle Doble 220g ;4; $ 62.400,00 
;;Beatle Simple 110g ;3; $ 37.800,00 
;;BIZZARAP session #2;2; $ 21.000,00 
;;Charly  Triple 330g;2; $ 36.000,00 
;;Charly Doble 220g ;5; $ 73.500,00 
;;Charly Simple 110g;4; $ 46.800,00 
;;Clasic Doble 220g;5; $ 70.500,00 
;;Clasic Simple 110g ;5; $ 55.500,00 
;;Clasic Triple 330g;2; $ 34.800,00 
;;Coca Cola 1.5 Lts;7; $ 30.100,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;ENVIO;; $ 54.600,00 
;;franui Chocolate semiamargo + chocolate blanco;2; $ 18.000,00 
;;Freestyle;5; $ 108.000,00 
;;Gorillaz Doble;1; $ 16.800,00 
;;HC doble;10; $ 172.000,00 
;;HC simple;1; $ 14.200,00 
;;HC TRIPLE;1; $ 20.500,00 
;;Heineken 464ml;2; $ 7.400,00 
;;KISS DOBLE;2; $ 31.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;MADONNA veggie DOBLE;3; $ 45.900,00 
;;Mala Fama Doble 220g;8; $ 137.600,00 
;;Mala Fama Simple 110g ;3; $ 42.600,00 
;;Mala Fama Triple 330g ;1; $ 20.500,00 
;;NUGGETS X12 + PAPAS + BBQ;5; $ 45.000,00 
;;Nugget's X6 ;; $ 12.800,00 
;;Papas con Cheddar;4; $ 44.400,00 
;;PAPAS QUEEN;1; $ 8.800,00 
;;Papas Queen ;; $ 19.200,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 135.500,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 118.500,00 
;;Red Hot DOBLE;2; $ 31.600,00 
;;Red Hot Simple 110g ;1; $ 12.800,00 
;;RIHANNA ;1; $ 10.500,00 
;;Rolling Stone Simple 110g ;1; $ 12.300,00 
;;techno Chicken;2; $ 21.400,00 
;;Duko Simple;2; $ 26.200,00 
;;Duko Doble;6; $ 96.600,00 
;;Duko Triple 330g ;1; $ 19.400,00 
;;Rolling Stone Triple;1; $ 18.600,00 
;;CHEESECAKE OREO;3; $ 12.600,00 
;;Porcion Extra de Papas Medianas;; $ 11.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Empanada de Carne;1; $ 2.500,00 
;;6 empanadas;3; $ 39.000,00 
;;12 empanadas;1; $ 25.000,00 
5/3/2026;392691;ACDC Doble;1; $ 16.200,00 
;;Agua 500cc;1; $ 2.100,00 
;;Beatle Doble 220g ;1; $ 15.600,00 
;;Charly Doble 220g ;2; $ 29.400,00 
;;Clasic Doble 220g;2; $ 28.200,00 
;;CLASICO + levite;2; $ 13.600,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 10.400,00 
;;HC doble;1; $ 17.200,00 
;;LADY GAGA;1; $ 10.500,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Mala Fama Simple 110g ;1; $ 14.200,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;1; $ 9.000,00 
;;Papas con Cheddar;1; $ 8.700,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 47.400,00 
;;Red Hot DOBLE;5; $ 79.000,00 
;;RIHANNA ;1; $ 10.500,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;Duko Doble;1; $ 16.100,00 
;;Duko Triple 330g ;3; $ 58.200,00 
;393689;2 tostados CLASSIC;1; $ 9.500,00 
;;ACDC Doble;6; $ 97.200,00 
;;ACDC Simple ;1; $ 13.200,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;1; $ 13.500,00 
;;Andes Rubia;6; $ 18.000,00 
;;Aros de Cebolla 6 unid.;; $ 10.800,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.600,00 
;;Beatle Doble 220g ;7; $ 109.200,00 
;;Beatle Simple 110g ;1; $ 12.600,00 
;;BIZARRAP Session #1 ;2; $ 21.000,00 
;;BIZZARAP session #2;1; $ 10.500,00 
;;Bob Marley Doble ;1; $ 15.100,00 
;;Cerveza Andes IPA;6; $ 18.000,00 
;;Charly  Triple 330g;2; $ 36.000,00 
;;Charly Doble 220g ;6; $ 88.200,00 
;;Charly Simple 110g;1; $ 11.700,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;9; $ 126.900,00 
;;Clasic Simple 110g ;12; $ 133.200,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;9; $ 38.700,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 8.400,00 
;;ENVIO;; $ 55.900,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;1; $ 21.600,00 
;;Gorillaz Doble;2; $ 33.600,00 
;;Gorillaz simple ;2; $ 27.600,00 
;;HC doble;3; $ 51.600,00 
;;Heineken 464ml;1; $ 3.700,00 
;;HIP HOP;1; $ 23.100,00 
;;KISS SIMPLE;1; $ 12.900,00 
;;LADY GAGA;2; $ 21.000,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
